step_min,2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr,2000yr,5000yr,10000yr,PMP
700,0.11,6.2,28.0,102.52,134.89,174.54,222.94,303.31,379.37,383.78,509.5,547.78,1054.04
705,0.69,9.81,37.49,120.14,157.32,202.79,258.23,350.26,437.34,417.6,553.99,595.52,1121.58
710,2.72,15.72,52.31,147.01,191.41,245.6,311.61,421.12,524.75,460.47,610.37,656.03,1205.25
715,6.42,25.41,75.42,183.4,237.41,303.22,383.31,516.14,641.85,522.13,691.47,743.05,1316.89
720,11.84,40.41,109.56,229.53,295.58,375.92,473.64,635.66,789.03,615.51,814.22,874.77,1472.21
725,19.42,60.64,153.81,285.28,365.69,463.37,582.11,778.97,965.37,740.38,978.31,1050.83,1670.56
730,28.81,85.51,206.41,346.45,442.38,558.83,700.31,934.87,1157.02,896.91,1183.92,1271.41,1911.62
735,38.42,114.14,265.01,404.23,514.54,648.35,810.89,1080.37,1335.66,1084.8,1430.62,1536.07,2191.87
740,46.65,144.23,324.85,451.82,573.67,721.39,900.81,1198.31,1480.19,1289.22,1698.91,1823.86,2490.9
745,52.71,171.84,377.92,484.48,613.86,770.66,961.09,1276.86,1576.13,1479.05,1947.84,2090.85,2768.23
750,56.43,193.92,418.62,502.03,635.0,796.11,991.76,1316.22,1623.79,1631.39,2147.41,2304.84,2993.73
755,57.98,208.64,443.71,504.38,637.01,797.67,992.78,1316.38,1623.19,1731.35,2278.06,2444.89,3145.31
760,57.3,215.55,452.78,493.11,621.95,778.0,967.51,1281.86,1579.94,1779.91,2341.17,2512.45,3222.12
765,55.27,214.88,446.53,472.22,594.87,743.42,923.81,1223.09,1506.92,1777.39,2337.18,2508.02,3224.14
770,51.79,207.4,427.08,442.29,556.55,694.91,862.95,1141.76,1406.22,1729.87,2274.11,2440.23,3159.6
775,47.05,195.36,399.11,406.13,510.51,636.9,790.41,1045.16,1286.83,1651.47,2170.54,2328.99,3046.82
780,41.9,179.58,364.4,368.54,462.82,577.0,715.67,945.83,1164.2,1543.84,2028.66,2176.66,2889.6
785,37.29,161.72,326.29,333.41,418.37,521.24,646.2,853.63,1050.46,1416.19,1860.56,1996.22,2702.47
790,33.21,143.72,288.62,301.15,377.6,470.18,582.63,769.32,946.5,1285.67,1688.79,1811.86,2507.5
795,29.68,127.29,254.58,272.53,341.47,424.95,526.37,694.75,854.57,1165.34,1530.49,1641.98,2322.37
800,26.65,112.59,224.32,247.17,309.49,384.95,476.63,628.86,773.36,1055.54,1386.08,1487.01,2149.35
805,23.99,99.86,198.21,224.49,280.9,349.21,432.21,570.03,700.86,958.41,1258.37,1349.96,1993.09
810,21.57,88.97,175.92,204.05,255.15,317.04,392.23,517.11,635.67,872.58,1145.53,1228.88,1851.99
815,19.44,79.63,156.85,185.9,232.32,288.52,356.81,470.24,577.95,795.74,1044.52,1120.49,1723.8
820,17.59,71.53,140.31,169.87,212.15,263.35,325.57,428.92,527.07,726.41,953.39,1022.7,1606.9
825,15.99,64.53,126.07,155.68,194.31,241.1,297.95,392.41,482.11,664.97,872.65,936.08,1501.86
830,14.56,58.52,113.87,143.05,178.44,221.3,273.4,359.95,442.16,610.75,801.4,859.62,1407.48
835,13.3,53.31,103.32,131.83,164.36,203.75,251.63,331.19,406.76,562.67,738.23,791.85,1322.89
840,12.19,48.75,94.11,121.88,151.88,188.2,232.35,305.72,375.42,519.8,681.91,731.43,1247.07
845,11.23,44.76,86.08,113.09,140.85,174.47,215.34,283.25,347.78,481.69,631.84,677.71,1179.37
850,10.39,41.26,79.06,105.27,131.05,162.27,200.23,263.31,323.24,447.76,587.29,629.91,1118.73
855,9.65,38.18,72.89,98.32,122.34,151.43,186.8,245.59,301.45,417.73,547.85,587.59,1064.78
860,8.99,35.42,67.41,92.12,114.58,141.77,174.84,229.81,282.05,391.03,512.79,549.98,1016.8
865,8.4,32.97,62.55,86.58,107.64,133.16,164.17,215.74,264.74,367.26,481.57,516.49,974.12
870,7.88,30.79,58.25,81.6,101.41,125.41,154.58,203.09,249.2,345.95,453.59,486.48,935.7
875,7.42,28.87,54.45,77.13,95.82,118.46,145.99,191.76,235.27,326.88,428.56,459.62,900.95
880,7.0,27.15,51.08,73.11,90.8,112.23,138.28,181.61,222.79,309.72,406.04,435.47,869.13
885,6.63,25.64,48.12,69.51,86.3,106.64,131.37,172.5,211.6,294.31,385.81,413.76,840.04
890,6.3,24.3,45.51,66.25,82.23,101.59,125.12,164.27,201.49,280.44,367.6,394.23,813.85
895,6.01,23.08,43.14,63.3,78.54,97.01,119.47,156.83,192.34,267.97,351.24,376.68,790.54
900,5.74,21.93,40.9,60.59,75.17,92.83,114.3,150.01,183.97,256.65,336.38,360.75,769.3
905,5.49,20.81,38.74,58.11,72.06,88.97,109.54,143.75,176.28,246.3,322.8,346.18,749.78
910,5.26,19.68,36.56,55.8,69.19,85.4,105.13,137.94,169.14,236.75,310.27,332.74,731.43
915,5.05,18.47,34.26,53.66,66.51,82.09,101.04,132.56,162.53,227.93,298.7,320.32,713.69
920,4.84,17.17,31.8,51.65,64.01,78.99,97.21,127.52,156.34,219.68,287.88,308.72,696.4
925,4.65,15.82,29.25,49.78,61.68,76.1,93.64,122.82,150.57,211.97,277.77,297.87,679.88
